NAME,WHAT,Pre or Post install?
base,"Minimal package set to define a basic Arch Linux installation",Pre
base-devel,"Extra tools",Pre
linux,"The Linux kernel and modules",Pre
linux-firmware,"Firmware files for Linux",Pre
dhcpcd,"RFC2131 compliant DHCP client daemon",Pre
inetutils,"A collection of common network programs",Pre
man-db,"A utility for reading man pages",Pre
man-pages,"Linux man pages",Pre
netctl,"Profile based systemd network management",Pre
vim,"Vi Improved, a highly configurable, improved version of the vi text editor",Pre
intel-ucode,"Microcode update files for Intel CPUs",Pre (if using intel of course)
dialog,"A tool to display dialog boxes from shell scripts",Pre
wpa_supplicant,"A utility providing key negotiation for WPA wireless networks",Pre
xorg-server,"Xorg X server",Post
xf860-video-vesa,"X.org vesa video driver",Post
xorg-xinit,"X.Org initialisation program",Post
rxvt-unicode,"Unicode enabled rxvt-clone terminal emulator (urxvt)",Post
i3,"I3 window manager",Post
xclip,"Command line interface to the X11 clipboard",Post
dmenu,"Generic menu for X",Post
alsa-utils,"Advanced Linux Sound Architecture - Utilities",Post
firefox,"Standalone web browser from mozilla.org",Post
git,"the fast distributed version control system",Post
ranger,"Simple, vim-like file manager",Post
scrot,"Simple command-line screenshot utility for X",Post
android-udev,"Udev rules to connect Android devices to your linux box",Post
xorg-xrandr,"Primitive command line interface to RandR extension",Post
w3m,"Terminal browser - Mostly used to preview images in ranger",Post
zsh,"Better shell",Post
rofi,"Application launcher",Post
i3-scrot,"A scrot script for i3",Post
dunst,"A lightweight replacement for the notification-daemons provided by most desktop environments.",Post
feh,"Wallpaper tool",Post
telegram-desktop,"Chat client",Post
discord,"Chat client",Post
python-pywal,"Generate coloschemes on the fly",Post
polybar,"i3 bar",Post
ttf-font-awesome-4,"Fonts",Post
vlc,"Decent video player",Post
gimp,"Image editor",Post
simplescreenrecorder,"Video capture software",Post
xrandr,"To position multiple monitors",Post
